substance,density,temperature,pore_size,mean_a1,mean_a2,error_a1,error_a2
C1,10.003002000000002,600.0,30.0,-0.0259703852574468,-0.001559522055403,3.045662439485179e-05,4.045252509012012e-05
C1,29.040696,600.0,30.0,-0.0762770758745973,-0.0039301384658981,4.295196920155424e-05,8.568801577437249e-05
C1,48.078295,600.0,30.0,-0.127536285576592,-0.0055324157834321,5.213232317259828e-05,0.0001210705388042
C1,67.11834599999999,600.0,30.0,-0.1798853055215641,-0.0067162637541961,6.756846994330693e-05,0.0001744903315986
C1,86.155847,600.0,30.0,-0.2335917247269938,-0.0079250870266851,6.633259746464387e-05,0.0001942236307576
C1,105.18310799999998,600.0,30.0,-0.2883601997483935,-0.0087862237408198,7.208273762114199e-05,0.0002151753151839
C1,124.240584,600.0,30.0,-0.3447657523671419,-0.0094416281142608,7.946734571017273e-05,0.0002405997168291
C1,143.25423499999997,600.0,30.0,-0.4017269513867227,-0.0102852056942384,9.086190115563908e-05,0.0002952175627611
C1,162.28438499999996,600.0,30.0,-0.4598272056753654,-0.0108788621737268,9.061507552356468e-05,0.0002974094794688
C1,181.317656,600.0,30.0,-0.5185122671261213,-0.0115952133581552,0.0001177200596922,0.000398937128572
C1,200.369151,600.0,30.0,-0.5777229889865713,-0.0126276281518756,0.0001077936925379,0.0003846747221464
C1,219.381824,600.0,30.0,-0.6371785031932126,-0.0132580322102138,0.0001215698785784,0.0004378260997716
C1,238.47538899999995,600.0,30.0,-0.6964180657721084,-0.0142015240272468,0.0001124059398854,0.0004405455284009
C1,257.52291400000007,600.0,30.0,-0.7555469060845339,-0.0161908773275403,0.0001385320083154,0.000558540029369
C1,276.491349,600.0,30.0,-0.8128469284578707,-0.0171531083014832,0.0001463579418402,0.0006121242762775
C1,295.5754559999999,600.0,30.0,-0.8712514466338308,-0.017496468384797,0.0001709771025151,0.0007127900240034
C1,314.563509,600.0,30.0,-0.9271602098576526,-0.0194838440317644,0.0001683210499105,0.0007500157599098
C1,333.62371699999994,600.0,30.0,-0.9814145749281308,-0.0194831907705343,0.0001861164607268,0.0008363833609122
C1,352.63600899999994,600.0,30.0,-1.0337115117742606,-0.0214463367100916,0.0001785145077256,0.0008243849004048
C1,371.642675,600.0,30.0,-1.084263702035303,-0.0208065553805502,0.0001929784336804,0.000900868937225
C1,390.7488139999999,600.0,30.0,-1.1317266962547223,-0.0213023915014099,0.0002103504854472,0.0009951797280011
C1,29.040696,600.0,120.0,-0.0783671451800953,-0.0039396489858326,4.606031747656476e-05,9.279587096282144e-05
C1,48.078295,600.0,120.0,-0.1300875489964535,-0.0057595497843236,5.90679573713432e-05,0.0001408158621616
C1,67.11834599999999,600.0,120.0,-0.1826728457531924,-0.0071821118661578,6.451519862054906e-05,0.0001750737972062
