substance,density,temperature,mean_a1,mean_a2,error_a1,error_a2
C1,29.04069600000001,600.0,-0.0792764415401925,-0.0035911852722674,5.461641814859172e-05,0.0001087581990667
C1,48.07829500000001,600.0,-0.132620972944415,-0.0054101358442661,7.868059721125899e-05,0.0001878622998886
C1,67.11834599999999,600.0,-0.1870977511713119,-0.0070151360981909,0.0001008547643158,0.0002719679638312
C1,86.155847,600.0,-0.2425506365781399,-0.0076383708392778,9.936034290682142e-05,0.0002694546709181
C1,105.18310799999996,600.0,-0.2985618554943055,-0.0082572892580933,7.820362499055056e-05,0.0002336568827054
C1,124.24058399999994,600.0,-0.3557240396225778,-0.0089505793644664,0.0001005665822549,0.0003043150647616
C1,143.29063300000007,600.0,-0.4134640539553592,-0.0097364532404531,8.937370426925609e-05,0.0002805151627218
C1,162.32827300000005,600.0,-0.4718111170683761,-0.0101353529436006,0.0001124038607893,0.0003598102806081
C1,181.31765600000003,600.0,-0.5303991798482259,-0.0101601344323053,0.0001154548750132,0.000375076228972
C1,200.42936300000005,600.0,-0.5896638453765677,-0.0100797529166276,0.0001102369793707,0.0003598334219225
C1,219.381824,600.0,-0.6488541380056189,-0.0110330796653557,9.23668508436683e-05,0.000316940613914
C1,238.4753890000001,600.0,-0.7082483621537509,-0.0110945254899702,0.0001071724901805,0.0003581714466269
C1,257.5229140000001,600.0,-0.7673923136981069,-0.0124377448677625,0.0001137772426838,0.0004176214037385
C1,276.58895399999994,600.0,-0.8262219965657881,-0.0126721262597564,0.0001238782626768,0.0004350636734185
C1,295.467631,600.0,-0.8842214842509908,-0.0137296796821353,0.0001169809829161,0.0004334584966279
C1,314.681955,600.0,-0.9422465652228422,-0.0146025748047089,0.0001117111693944,0.000443746824781
C1,333.753091,600.0,-0.9989990356729848,-0.0151669601096791,0.0001261476396526,0.000523618196429
C1,352.6360089999999,600.0,-1.0537331805853096,-0.0158362511808743,0.0001327533380686,0.0005459069688327
C1,371.642675,600.0,-1.1074181130111236,-0.0161599981968222,0.0001333334281479,0.0005439038207805
C1,390.9128039999999,600.0,-1.1602395138071302,-0.0171097122645518,0.0001562403365937,0.0006442605173081
C2,10.000864000000004,600.0,-0.0351046725032281,-0.0041714185469975,0.0001166952559217,0.0001759939012961
C2,29.033193999999995,600.0,-0.1030516386482878,-0.0112093111051771,0.0001293972815474,0.0003154454313544
C2,48.06500300000001,600.0,-0.17395818000563,-0.0159861703245273,0.0001717198638591,0.0004890356299907
C2,67.104291,600.0,-0.2468197774429465,-0.0198804055007986,0.000200526486193,0.0006720835954722
C2,86.11953999999997,600.0,-0.3217525833439492,-0.0242038123507727,0.0002162851356593,0.0008335018873874
C2,105.15239999999996,600.0,-0.3994937964611974,-0.0274422785729086,0.0002016106823583,0.0007329976598055
C2,124.18388899999997,600.0,-0.4788528961254625,-0.028290727532599,0.0002385836782413,0.0009121536020776
C2,143.24215600000002,600.0,-0.5605911709520394,-0.0298806908255886,0.0002266235308857,0.0010088020879249
C2,162.23333799999995,600.0,-0.6443281365822685,-0.0289538054668578,0.000231028536168,0.0009583722535414
C2,181.35033100000007,600.0,-0.7306816401034497,-0.0293004290807602,0.0002041431589907,0.0007708072116563
C2,200.39998000000003,600.0,-0.8190709538200692,-0.0296148983316906,0.0002632432161022,0.0010441762287341
C2,219.30438300000003,600.0,-0.9076673326676948,-0.0289575678677045,0.0002790874497216,0.0010820419075184
C2,238.4118090000001,600.0,-0.9994718677567558,-0.0310685897968403,0.0002551183325445,0.00100393084045
C2,257.3919890000001,600.0,-1.0924908387738443,-0.0257102346205878,0.000243508083927,0.00090460682364
C2,276.50126999999986,600.0,-1.1879277720395731,-0.0269805380509307,0.0002404396074156,0.0008808032101523
C2,295.57945600000005,600.0,-1.2840777916936217,-0.0240298598224269,0.0002753030701048,0.000955470644382
C2,314.48998300000005,600.0,-1.3799235684546278,-0.0226869910605756,0.0002264665217205,0.0007739349483669
