substance,density,temperature,pore_size,mean_a1,mean_a2,error_a1,error_a2
C1,10.003002000000002,600.0,30.0,-0.028664404121926,-0.0018827325476074,3.0082328559936115e-05,4.063241143716558e-05
C1,29.040696,600.0,30.0,-0.0845673682297263,-0.0045526086319175,4.952373995535823e-05,0.000104634330581
C1,48.078295,600.0,30.0,-0.1419970715680497,-0.0066094087619181,5.295239977747088e-05,0.0001367280079903
C1,67.11834599999999,600.0,30.0,-0.2016057997633364,-0.0078471654647559,5.366095352400808e-05,0.000151610281987
C1,86.155847,600.0,30.0,-0.2630375467734127,-0.0086543504244166,7.288216586007043e-05,0.0002124591437754
C1,105.18310799999998,600.0,30.0,-0.3264810718978713,-0.0092997490416636,7.659820109676015e-05,0.000233543630866
C1,124.240584,600.0,30.0,-0.3922682968891006,-0.0092935039057194,9.430077626706108e-05,0.0002838988441957
C1,143.25423499999997,600.0,30.0,-0.4598040980528968,-0.0088886277108741,8.782101626433493e-05,0.0002619333899851
C1,162.28438499999996,600.0,30.0,-0.5294878568680589,-0.0085333469630387,8.351240648674077e-05,0.0002540104221587
C1,181.317656,600.0,30.0,-0.6007682662057974,-0.0088693644536977,0.0001019534394024,0.0002991917754179
C1,200.369151,600.0,30.0,-0.6740215110753068,-0.0085384735457874,0.0001064423722284,0.000314397964908
C1,219.381824,600.0,30.0,-0.7482672212482817,-0.0080340424036515,0.0001102983698898,0.0003241016775552
C1,238.47538899999995,600.0,30.0,-0.8246540391791839,-0.0076747059244933,0.000101356245965,0.000283805502101
C1,257.52291400000007,600.0,30.0,-0.901241520877381,-0.0084395988073447,0.000148445667912,0.0004427059029508
C1,276.491349,600.0,30.0,-0.9739864443524254,-0.0074837558672811,0.0001236987116786,0.0003378636127469
C1,295.5754559999999,600.0,30.0,-1.0568757671179323,-0.0076822319841677,0.0001115875874475,0.0003077180552262
C1,314.563509,600.0,30.0,-1.1349353315981296,-0.0077227773916871,0.000151621022945,0.0004336177583373
C1,333.62371699999994,600.0,30.0,-1.2133186280286536,-0.0070131677440129,0.0001364164527008,0.0003727208885426
C1,352.63600899999994,600.0,30.0,-1.2916630774286253,-0.0073106702399262,0.0001421355639666,0.0003816158005968
C1,371.642675,600.0,30.0,-1.369490064333094,-0.0074716022081467,0.0001817481028815,0.0005080892819619
C1,390.7488139999999,600.0,30.0,-1.4469895239969588,-0.007500904895634,0.000191189624475,0.0005169463237196
C1,10.003002000000002,600.0,120.0,-0.0296925790511148,-0.0018810442096179,3.144156315449461e-05,4.321360351261485e-05
C1,29.040696,600.0,120.0,-0.0860159071525797,-0.004753525293215,4.701743050376637e-05,0.0001027929716412
C1,48.078295,600.0,120.0,-0.1433159459074521,-0.0072324158252874,7.027407832316768e-05,0.000195024158352
C1,67.11834599999999,600.0,120.0,-0.2021999416415038,-0.0083240580991298,6.231921517416119e-05,0.0001744615530209
C1,86.155847,600.0,120.0,-0.2625839322578777,-0.0088914225157979,6.99182399109187e-05,0.0002089562061977
C1,105.18310799999998,600.0,120.0,-0.324985102315058,-0.009923155901844,8.048052897640074e-05,0.0002504803868503
C1,124.240584,600.0,120.0,-0.3889696470632926,-0.0094266020736498,8.698960653854925e-05,0.0002695280969798
C1,143.29063300000004,600.0,120.0,-0.4546885270850488,-0.0090964588739006,9.70125923902334e-05,0.0002927139615808
C1,162.328273,600.0,120.0,-0.521917577662637,-0.0088349832174902,8.394938578356227e-05,0.0002534449375104
C1,181.317656,600.0,120.0,-0.5905292447708009,-0.0084238206690027,8.879002149616923e-05,0.0002561057301443
C1,200.429363,600.0,120.0,-0.66085084812862,-0.0076155954276279,6.206619294292189e-05,0.0001744913881295
C1,219.381824,600.0,120.0,-0.7319599999488441,-0.0071972536754363,6.710002994671491e-05,0.0001813987893814
C1,238.47538899999995,600.0,120.0,-0.7013287123110192,-0.0064556231112726,7.259482563185202e-05,0.0001860814173782
C1,257.52291400000007,600.0,120.0,-0.7982545989536652,-0.0058959309574127,9.867383775162456e-05,0.0002427701843582
C1,276.588954,600.0,120.0,-0.8793658756138472,-0.0054403338027936,8.774303323268183e-05,0.0002031202530478
C1,295.467631,600.0,120.0,-0.981848390383687,-0.0049865906238438,8.136898268255127e-05,0.0001801505917703
C1,314.681955,600.0,120.0,-1.0697187266749109,-0.0043657699812881,8.559861089342598e-05,0.0001732748739136
C1,333.753091,600.0,120.0,-1.1787571678547817,-0.004460669015792,0.000114103550368,0.0002376228291853
C1,352.63600899999994,600.0,120.0,-1.2533404392279297,-0.004048642892303,0.0001117099142834,0.0002200087635936
C1,371.642675,600.0,120.0,-1.3287082428135886,-0.0039180722554201,0.0001192962276372,0.000228664096939
C1,390.912804,600.0,120.0,-1.4044039411689977,-0.0039529419713811,0.0001267203626491,0.0002581906866999
C2,29.033193999999995,600.0,30.0,-0.1093284035059225,-0.0139505128601077,0.0001332440111473,0.0003501713668557
C2,48.07231000000001,600.0,30.0,-0.1832213819255917,-0.0214514824955494,0.0001475237788868,0.0005045170623106
C2,67.10429099999999,600.0,30.0,-0.2589153125512094,-0.0276397215614216,0.0001685852512167,0.0006405315158217
C2,86.137064,600.0,30.0,-0.3356158986320594,-0.0326291882337968,0.0001861927558636,0.0007748761640809
C2,105.17604400000002,600.0,30.0,-0.4145111237874667,-0.0351962030791248,0.0002089983031891,0.0009091524105522
C2,124.21423499999996,600.0,30.0,-0.4972421623254236,-0.0370641238482432,0.000202787802608,0.0008854518322798
C2,143.242156,600.0,30.0,-0.582688330967165,-0.0379092171954126,0.0001924090707929,0.0008725020006669
C2,162.27865100000002,600.0,30.0,-0.671468441444983,-0.0364414277767664,0.0002338639817479,0.000976507800828
