substance,temperature,density,pressure,error_pressure
C1,400.0,24.599414000000003,5000428.726,6733.668877318488
C1,400.0,49.737127,10015801.62,11023.600060421644
C1,400.0,74.64820099999999,14923101.32,32895.75492742524
C1,400.0,98.537633,19923302.08,81268.11521116039
C1,400.0,120.83221000000002,24885440.14,74719.44074306
C1,400.0,141.07650000000007,30050717.22,128470.83656786504
C1,400.0,159.32756199999997,34692005.26,158435.49269757626
C1,400.0,175.72712499999997,40109935.96,196658.3110207353
C1,400.0,190.329092,44806906.28,185952.4779890877
C1,400.0,203.437559,50026392.96,328559.38812776183
C1,400.0,215.2962990000001,54911057.42,366697.4033583535
C1,400.0,226.007862,60069920.18,452537.8579191714
C1,400.0,235.82469899999992,64439488.7,474014.6675576916
C1,400.0,244.828506,70158023.48,412019.2022382119
C1,400.0,253.1670760000001,75006540.32,456426.827777735
C1,400.0,260.8813920000001,80357587.32,369006.82444148615
C1,400.0,268.0424469999999,85726404.94,647899.9468020006
C1,400.0,274.749085,90243384.72,526328.9155708827
C1,400.0,280.940725,96426974.08,703051.859639089
C1,400.0,286.9392589999999,99331554.52,484596.8401801093
C2,400.0,53.09592999999998,5059759.852,17505.01843402108
C2,400.0,126.246269,10133050.586,89058.79974100295
C2,400.0,205.70801500000005,15430217.215,244086.11771470128
C2,400.0,262.4264739999999,20176982.517,240208.7713014552
C2,400.0,299.3531670000001,25333845.046,392340.116356305
C2,400.0,325.6690349999999,30716886.47,315200.49792755983
C2,400.0,345.529375,36987096.44,442143.0893067899
C2,400.0,361.6954320000001,41325783.67,421052.0248568461
C2,400.0,375.5288110000001,47561147.76,609208.1625411083
C2,400.0,387.1656990000001,52842689.71,565535.2645094383
C2,400.0,397.4830309999999,59072430.14,579996.2403807165
C2,400.0,406.620218,64312697.49,578899.5637272805
C2,400.0,414.7670049999999,70868181.66,565046.898874364
C2,400.0,422.4814120000001,75378041.47,745375.7858317161
C3,450.0,76.27878199999999,5124028.703602991,28942.4822074246
C3,450.0,202.78994400000005,10437508.315771583,152329.4219320265
C3,450.0,296.27380200000005,15811772.042182188,261014.4231575145
C3,450.0,343.326572,20990516.76123705,439628.9799425728
C3,450.0,373.09698800000007,26516500.78450033,490612.1214892067
C3,450.0,394.881116,31747228.851869475,439336.323489708
C3,450.0,411.7149129999999,36701400.98613189,487925.8748556504
C3,450.0,425.877458,42551426.32766825,429565.5457392234
C3,450.0,438.293918,47605581.12644459,587420.735788782
C3,450.0,448.718025,54125308.50441876,487599.8140192278
C3,450.0,458.384228,59130056.49218219,483720.8867790895
C3,450.0,466.8385779999999,65988889.70088375,605225.4899581934
C3,450.0,474.7403000000001,70301307.94017676,461265.80115619255
C3,450.0,481.6557510000002,75696601.3800136,706985.7566984771
C3,450.0,488.3108849999999,81041987.21278042,619913.1942876909
C3,450.0,494.687008,86954883.09993201,624956.7652587548
C3,450.0,500.3574920000001,91906982.40652618,636794.7312130061
C3,450.0,506.114974,97761650.9993202,716973.5503740254
C3,450.0,511.1204710000001,106025379.53772944,766494.8849209615
C3,450.0,516.192191,108076289.83684568,492039.0208686072
C4,450.0,181.464499,5226436.445987,137387.69363946564
C4,450.0,381.8499620000001,11384913.0476985,357037.4288019477
